objective_number,objective_title,objective_repo,issue_number,issue_title,issue_repo,depth,pr_number,pr_title,pr_repo,pr_state,pr_url
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,39,Update Stories of Impact with actual titles and images of stories,Disasters-Learning-Portal/disasters-portal,4,122,"feat: Respond story content [39, 36]",Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/122
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,40,Update Data Visualization with a striking data example,Disasters-Learning-Portal/disasters-portal,4,247,"fix: homepage, respond page, recover page - data visualization updates [40, 52, 163]",Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/247
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,41,Update Latest Disaster Activations to align with event pages,Disasters-Learning-Portal/disasters-portal,4,123,"feat: Respond event content [36, 41]",Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/123
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,42,Update Data Stories tile and images,Disasters-Learning-Portal/disasters-portal,4,121,feat: Recover and Respond datastory content [51],Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/121
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,43,Update Resources & Learning with updated Titles and Images,Disasters-Learning-Portal/disasters-portal,4,109,"feat: Set content model for story, event, dataset, training. Add individual training detail pages and ",Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/109
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,129,Respond page implementation Alignemnt,Disasters-Learning-Portal/disasters-portal,4,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,49,Add: Explore by Need > Recover page content (all),Disasters-Learning-Portal/disasters-portal,3,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,51,Update Stories of Impact with actual titles and images of stories,Disasters-Learning-Portal/disasters-portal,4,120,feat: Recover story content [51],Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/120
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,51,Update Stories of Impact with actual titles and images of stories,Disasters-Learning-Portal/disasters-portal,4,121,feat: Recover and Respond datastory content [51],Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/121
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,52,Update Data Visualization with a striking data example,Disasters-Learning-Portal/disasters-portal,4,247,"fix: homepage, respond page, recover page - data visualization updates [40, 52, 163]",Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/247
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,53,Update Resources & Learning with updated Titles and Images,Disasters-Learning-Portal/disasters-portal,4,119,feat: Recover training content [53],Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/119
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,54,Update first Recover Story of Impact,Disasters-Learning-Portal/disasters-portal,4,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,77,Ingest GAIA data for visualization,Disasters-Learning-Portal/disasters-portal,5,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,55,Add: About Us page content (all),Disasters-Learning-Portal/disasters-portal,3,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,62,Add: Dataset pages content,Disasters-Learning-Portal/disasters-portal,3,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,45,Add: Individual Dataset page content,Disasters-Learning-Portal/disasters-portal,3,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,95,Add shared dataset content type definition,Disasters-Learning-Portal/disasters-portal,4,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,96,Add datasets content file structure,Disasters-Learning-Portal/disasters-portal,4,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,97,Add dataset template page,Disasters-Learning-Portal/disasters-portal,4,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,146,Update data content for OPERA <placeholder>,Disasters-Learning-Portal/disasters-portal,4,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,63,Add: Resources & Learning > Training,Disasters-Learning-Portal/disasters-portal,3,106,feat: Training page masthead and card collection,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/106
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,72,Add: Individual Training Pages,Disasters-Learning-Portal/disasters-portal,3,109,"feat: Set content model for story, event, dataset, training. Add individual training detail pages and ",Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/109
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,103,Add shared training content type definition,Disasters-Learning-Portal/disasters-portal,4,109,"feat: Set content model for story, event, dataset, training. Add individual training detail pages and ",Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/109
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,104,Add training content file structure,Disasters-Learning-Portal/disasters-portal,4,109,"feat: Set content model for story, event, dataset, training. Add individual training detail pages and ",Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/109
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,105,Add training template page,Disasters-Learning-Portal/disasters-portal,4,109,"feat: Set content model for story, event, dataset, training. Add individual training detail pages and ",Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/109
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,64,Add: Resources & Learning > News & Events,Disasters-Learning-Portal/disasters-portal,3,134,feat: add news-events list page,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/134
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,65,Add: Individual Event Pages (all),Disasters-Learning-Portal/disasters-portal,3,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,66,Event Page (more robust) for California Wildfires,Disasters-Learning-Portal/disasters-portal,4,174,feat: california wildfires event and sentinel 2 dataset updates,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/174
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,75,Ingest AVIRIS data,Disasters-Learning-Portal/disasters-portal,5,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,67,Event Page (more robust) for Texas Flooding,Disasters-Learning-Portal/disasters-portal,4,145,feat: texas flooding event,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/145
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,68,Event Page (default page) for winter storms,Disasters-Learning-Portal/disasters-portal,4,154,feat: Event page,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/154
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,153,Event page for Typhoon Sinlaku,Disasters-Learning-Portal/disasters-portal,4,155,feat: add Typhoon Sinlaku 2026 event page content,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/155
